30.0, 550.0
30.0, 544.046447754
30.0, 538.092834473
30.0, 532.139282227
30.0, 526.18572998
30.0, 520.232116699
30.0, 514.278564453
30.0, 508.325012207
30.0, 502.371429443
30.0, 496.720306396
30.0, 491.976531982
30.0, 487.232788086
30.0987358093, 485.830993652
30.392993927, 484.45690918
30.8769626617, 483.137634277
31.5410861969, 481.899230957
32.3722496033, 480.766143799
33.3540382385, 479.760742188
34.4670677185, 478.902923584
35.6893539429, 478.209564209
36.9967689514, 477.694396973
38.363483429, 477.367584229
43.9791259766, 476.362731934
49.567150116, 475.214202881
55.1232223511, 473.919952393
60.64270401, 472.477661133
66.1206054688, 470.88470459
71.5514907837, 469.138214111
76.9294509888, 467.235046387
82.5747909546, 465.038726807
88.2518463135, 462.609161377
93.840171814, 459.981994629
99.3283691406, 457.151672363
104.703582764, 454.112335205
109.951263428, 450.857818604
115.054916382, 447.381896973
119.995803833, 443.678344727
124.752609253, 439.74130249
129.301147461, 435.565490723
133.614089966, 431.146911621
137.771987915, 426.3465271
141.712509155, 421.1434021
145.271591187, 415.672546387
148.401596069, 409.945617676
151.05329895, 403.982391357
153.178375244, 397.812103271
154.732879639, 391.474151611
155.681182861, 385.01776123
155.920166016, 381.762786865
155.980026245, 380.131866455
156.0, 378.5
156.0, 376.998016357
156.0, 374.62754945
156.0, 370.886421256
156.0, 364.982147217
156.0, 352.966278076
156.0, 340.950408936
156.0, 328.934509277
156.0, 316.918640137
156.0, 304.902770996
156.0, 292.886901855
156.0, 280.871032715
156.0, 268.855163574
156.0, 256.839294434
156.0, 244.823410034
156.0, 232.807540894
156.0, 220.791671753
156.0, 208.775787354
156.0, 196.759918213
156.0, 184.744049072
156.0, 172.728179932
156.0, 160.712295532
156.0, 148.696426392
156.0, 136.680557251
156.0, 124.664680481
156.0, 112.64881134
156.0, 100.63293457
156.0, 88.6170654297
156.0, 76.6011886597
156.0, 64.585319519
156.0, 52.569442749
156.0, 40.5535697937
156.0, 28.5376987457
156.0, 16.5218257904
156.0, 10.6175493982
156.0, 6.87642001669
156.0, 4.50595235825
156.0, 3.00396823883
156.0, 1.50198411942
156.0, 0.0
